homeorder,hdetails_title,hdetails_subtitle,hdetails_des,image,image_path,document,document_path
2,Lincoln Golf Club News,Ladies Tournament 2024,Enter the Lincoln Ladies Tournament 2024,Lincoln Ladies 2024.png,static\img\homedetails\news,,
3,Lincoln Golf Club Function Centre,PRIVATE FUNCTIONS,"Lincoln Golf Club could be the perfect venue for your next private function. Whether it is an anniversary, birthday, corporate event, business house golf function, wedding or any social occassion. We can arrange for bar staff, set up and clean up to make your event a special one. Our clubrooms are well appointed and offer a great space for small groups through to a large gathering of approximately 90 people. Our hireage rates are dependant on your requirements so please contact us today to make an inquiry.",function1.jpg,static\img\homedetails\function,,
3,Lincoln Golf Club Function Centre,PRIVATE FUNCTIONS,"Lincoln Golf Club could be the perfect venue for your next private function. Whether it is an anniversary, birthday, corporate event, business house golf function, wedding or any social occassion. We can arrange for bar staff, set up and clean up to make your event a special one. Our clubrooms are well appointed and offer a great space for small groups through to a large gathering of approximately 90 people. Our hireage rates are dependant on your requirements so please contact us today to make an inquiry.",function2.jpg,static\img\homedetails\function,,
3,Lincoln Golf Club Function Centre,PRIVATE FUNCTIONS,"Lincoln Golf Club could be the perfect venue for your next private function. Whether it is an anniversary, birthday, corporate event, business house golf function, wedding or any social occassion. We can arrange for bar staff, set up and clean up to make your event a special one. Our clubrooms are well appointed and offer a great space for small groups through to a large gathering of approximately 90 people. Our hireage rates are dependant on your requirements so please contact us today to make an inquiry.",function3.jpg,static\img\homedetails\function,,
3,Lincoln Golf Club Function Centre,PRIVATE FUNCTIONS,"Lincoln Golf Club could be the perfect venue for your next private function. Whether it is an anniversary, birthday, corporate event, business house golf function, wedding or any social occassion. We can arrange for bar staff, set up and clean up to make your event a special one. Our clubrooms are well appointed and offer a great space for small groups through to a large gathering of approximately 90 people. Our hireage rates are dependant on your requirements so please contact us today to make an inquiry.",function4.jpg,static\img\homedetails\function,,
4,Membership,Membership Application,,MEMBERSHIP_PNG,static\img\homedetails\membership,Application Form.pdf,static\pdf\membership
4,Membership,Membership Application,,Membership 2.jpg,static\img\homedetails\membership,Application Form.pdf,static\pdf\membership
5,Opening Hours,,"Our course is open year round to all members and visitors. We have organised club competition days on Saturday, Sunday, Tuesday and Wednesday. You are more than welcome to join us.",Fairway #6 & #15.jpg,static\img\homedetails\openhours,,
5,Opening Hours,,"Our course is open year round to all members and visitors. We have organised club competition days on Saturday, Sunday, Tuesday and Wednesday. You are more than welcome to join us.",openhours1.jpg,static\img\homedetails\openhours,,
