navtypeid,nav_type,nav_oder,nav_title
1,single,1,Home
2,dropdown,2,Golf
2,dropdown,3,Resutls
2,dropdown,4,Events
2,dropdown,5,Members
1,single,6,Programme
1,single,7,Sponsors
1,single,8,Contact
