manage_commid,mana_comm_year,mana_comm_title
1,2018,Management Committee Meeting Minutes 2018
2,2019,Management Committee Meeting Minutes 2019
3,2020,Management Committee Meeting Minutes 2020
4,2021,Management Committee Meeting Minutes 2021
5,2022,Management Committee Meeting Minutes 2022
6,2023,Management Committee Meeting Minutes 2023
