spontypeid_cl,clubsponid,clubspon_name,clubspon_link,web,image
2,1,Selwyn Community Pharmacy,https://www.facebook.com/selwyncommunitypharmacy/,selwyncommunitypharmacy,selwynpharmacy.png
2,2,New World Lincoln,https://www.newworld.co.nz/south-island/canterbury/lincoln,newworld.co.nz,
2,3,Richards Financial Services,,,richardsfinal.jpg
