spontypeid,coursponid,courspon_name,courspon_link,web,image
1,1,Ryamn,https://www.rymanhealthcare.co.nz/,rymanhealthcare.co.nz,ryman.jpg
1,2,Bespoke Built,,,
1,3,Famous Grouse,https://famousgrousehotel.co.nz/,famousgrousehotel.co.nz,famousgrouse.jpg
1,4,Challenge Lincoln,https://challenge.net.nz/,challenge.net.nz,challenge.jpg
